City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-12-01 02:32:14,-53.15,-70.9167,51.91,62,75,5.75
1,Hermanus,ZA,2021-12-01 02:27:22,-34.4187,19.2345,58.89,84,11,8.63
2,Lavrentiya,RU,2021-12-01 02:32:15,65.5833,-171.0,-13.99,88,3,8.61
3,Rikitea,PF,2021-12-01 02:32:15,-23.1203,-134.9692,76.24,77,0,20.62
4,Butaritari,KI,2021-12-01 02:27:20,3.0707,172.7902,82.11,76,90,8.14
5,Bredasdorp,ZA,2021-12-01 02:32:16,-34.5322,20.0403,56.28,83,82,5.26
6,Pevek,RU,2021-12-01 02:29:42,69.7008,170.3133,-12.14,99,100,1.23
7,Vaini,TO,2021-12-01 02:32:16,-21.2,-175.2,82.56,83,40,10.36
8,Okhotsk,RU,2021-12-01 02:32:17,59.3833,143.3,-13.09,85,15,14.76
9,San Jeronimo,PE,2021-12-01 02:32:17,-11.9472,-75.2829,52.41,86,100,1.34
10,Morehead,US,2021-12-01 02:32:17,37.2711,-87.1764,44.15,92,1,0.0
11,Nanortalik,GL,2021-12-01 02:32:18,60.1432,-45.2371,37.74,88,100,29.95
12,Atuona,PF,2021-12-01 02:32:18,-9.8,-139.0333,79.0,76,4,20.58
13,Troitsko-Pechorsk,RU,2021-12-01 02:28:41,62.7084,56.1964,22.8,97,100,10.22
14,Tuktoyaktuk,CA,2021-12-01 02:32:19,69.4541,-133.0374,-31.0,75,1,4.61
15,Mataura,NZ,2021-12-01 02:32:19,-46.1927,168.8643,67.48,51,34,5.57
16,Bethel,US,2021-12-01 02:32:19,41.3712,-73.414,39.56,82,90,1.99
17,Grand Baie,MU,2021-12-01 02:32:20,-20.0182,57.5802,77.47,78,2,1.99
18,Albany,US,2021-12-01 02:32:20,42.6001,-73.9662,34.81,87,83,3.36
19,Kribi,CM,2021-12-01 02:32:20,2.95,9.9167,78.58,86,87,3.71
20,Tailai,CN,2021-12-01 02:32:21,46.3833,123.4,18.3,64,2,7.25
21,Ushuaia,AR,2021-12-01 02:27:27,-54.8,-68.3,55.06,44,75,18.41
22,Clyde River,CA,2021-12-01 02:32:21,70.4692,-68.5914,3.43,85,100,11.5
23,Faanui,PF,2021-12-01 02:32:22,-16.4833,-151.75,82.18,73,100,20.11
24,Hobart,AU,2021-12-01 02:32:22,-42.8794,147.3294,87.03,32,75,6.91
25,Carnarvon,AU,2021-12-01 02:32:22,-24.8667,113.6333,75.27,60,40,21.85
26,San Jose,US,2021-12-01 02:29:28,37.3394,-121.895,66.45,61,20,0.0
27,Severnyy,RU,2021-12-01 02:32:23,50.677,36.5532,28.44,74,75,6.71
28,Hilo,US,2021-12-01 02:32:23,19.7297,-155.09,80.33,73,75,5.75
29,Ostrovnoy,RU,2021-12-01 02:32:24,68.0531,39.5131,25.11,62,100,35.66
30,Thompson,CA,2021-12-01 02:32:24,55.7435,-97.8558,-2.04,84,90,3.44
31,Dikson,RU,2021-12-01 02:32:25,73.5069,80.5464,-18.78,100,100,8.75
32,Synya,RU,2021-12-01 02:32:25,65.3718,58.0387,16.11,93,100,7.45
33,Cape Town,ZA,2021-12-01 02:29:44,-33.9258,18.4232,61.27,79,0,6.91
34,Busselton,AU,2021-12-01 02:32:25,-33.65,115.3333,68.09,46,100,10.56
35,Mangan,IN,2021-12-01 02:32:26,27.5167,88.5333,70.09,37,5,2.71
36,Algeciras,ES,2021-12-01 02:32:26,36.1333,-5.4505,51.48,71,3,8.05
37,Lazaro Cardenas,MX,2021-12-01 02:32:26,17.9583,-102.2,77.77,81,77,4.23
38,Tual,ID,2021-12-01 02:32:27,-5.6667,132.75,84.22,71,99,5.19
39,Kodiak,US,2021-12-01 02:32:27,57.79,-152.4072,24.31,68,90,9.22
40,Khatanga,RU,2021-12-01 02:32:28,71.9667,102.5,-40.23,100,93,3.8
41,Castro,BR,2021-12-01 02:32:22,-24.7911,-50.0119,60.08,65,0,3.69
42,Severo-Yeniseyskiy,RU,2021-12-01 02:32:28,60.3725,93.0408,-1.75,93,100,9.01
43,Kungurtug,RU,2021-12-01 02:32:29,50.5994,97.5228,10.56,79,14,0.56
44,Pisco,PE,2021-12-01 02:33:29,-13.7,-76.2167,64.45,82,0,13.8
45,Puerto Ayora,EC,2021-12-01 02:33:29,-0.7393,-90.3518,68.61,91,34,7.31
46,Emba,KZ,2021-12-01 02:33:30,48.8264,58.1442,39.69,74,100,23.49
47,Avarua,CK,2021-12-01 02:33:30,-21.2078,-159.775,78.85,78,75,12.66
48,College,US,2021-12-01 02:33:31,64.8569,-147.8028,1.35,72,75,0.0
49,Ulaanbaatar,MN,2021-12-01 02:33:31,47.9077,106.8832,-0.27,78,33,2.24
50,Umm Lajj,SA,2021-12-01 02:33:31,25.0213,37.2685,79.5,37,91,6.46
51,Kapoeta,SS,2021-12-01 02:33:32,4.7717,33.5903,77.99,48,87,17.45
52,Walvis Bay,NA,2021-12-01 02:33:32,-22.9575,14.5053,59.09,94,0,6.91
53,Iqaluit,CA,2021-12-01 02:33:32,63.7506,-68.5145,11.93,79,75,3.44
54,Adrar,MR,2021-12-01 02:33:33,20.5022,-10.0711,61.77,19,97,10.27
55,Trofors,NO,2021-12-01 02:33:33,65.5333,13.4063,25.95,94,98,4.5
56,Belyy Yar,RU,2021-12-01 02:31:16,53.6039,91.3903,6.85,86,12,2.24
57,New Norfolk,AU,2021-12-01 02:33:34,-42.7826,147.0587,88.66,26,100,4.0
58,Cidreira,BR,2021-12-01 02:33:34,-30.1811,-50.2056,67.01,85,0,11.41
59,Sao Jose Da Coroa Grande,BR,2021-12-01 02:32:09,-8.8978,-35.1478,77.85,83,86,7.54
60,Zhezkazgan,KZ,2021-12-01 02:33:34,47.8043,67.7144,19.8,85,5,5.55
61,Vardo,NO,2021-12-01 02:29:39,70.3705,31.1107,34.11,54,100,31.99
62,Chandbali,IN,2021-12-01 02:33:35,20.7833,86.7667,72.21,49,2,11.01
63,Esperance,AU,2021-12-01 02:33:35,-33.8667,121.9,69.64,51,39,8.5
64,Kununurra,AU,2021-12-01 02:33:36,-15.7667,128.7333,102.18,25,13,4.61
65,Poum,NC,2021-12-01 02:33:36,-20.2333,164.0167,81.68,77,12,12.48
66,Champua,IN,2021-12-01 02:33:37,22.0833,85.6667,67.17,48,1,5.14
67,Sol-Iletsk,RU,2021-12-01 02:33:37,51.1631,54.9918,34.63,88,73,11.86
68,Bengkulu,ID,2021-12-01 02:33:38,-3.8004,102.2655,82.36,68,93,5.23
69,Cherskiy,RU,2021-12-01 02:33:39,68.75,161.3,-15.59,98,100,6.02
70,Togur,RU,2021-12-01 02:33:39,58.3631,82.8265,16.72,97,100,5.23
71,Kruisfontein,ZA,2021-12-01 02:33:40,-34.0033,24.7314,60.89,91,27,3.89
72,Wanning,CN,2021-12-01 02:33:40,18.8003,110.3967,71.49,58,55,15.39
73,Barrow,US,2021-12-01 02:33:41,71.2906,-156.7887,-14.78,70,1,12.66
74,Mandera,KE,2021-12-01 02:33:41,3.9366,41.867,75.56,65,99,7.87
75,Idaho Falls,US,2021-12-01 02:29:56,43.4666,-112.0341,36.16,86,75,4.61
76,Shitanjing,CN,2021-12-01 02:33:42,39.2342,106.3439,30.04,28,1,5.59
77,Jamestown,US,2021-12-01 02:33:42,42.097,-79.2353,38.79,82,90,11.01
78,Saskylakh,RU,2021-12-01 02:33:42,71.9167,114.0833,-39.06,99,82,4.76
79,Ponta Do Sol,PT,2021-12-01 02:33:43,32.6667,-17.1,62.01,78,87,6.76
80,Seoul,KR,2021-12-01 02:32:55,37.5683,126.9778,35.11,43,20,18.41
81,Necochea,AR,2021-12-01 02:33:43,-38.5473,-58.7368,52.03,80,96,9.46
82,Bodden Town,KY,2021-12-01 02:33:44,19.2833,-81.25,78.8,73,0,11.5
83,Bauchi,NG,2021-12-01 02:33:44,10.5,10.0,64.62,23,12,5.97
84,Papara,BR,2021-12-01 02:33:44,-3.9839,-38.7273,82.72,90,54,2.64
85,Sudak,UA,2021-12-01 02:33:45,44.85,34.9667,40.14,65,65,14.72
86,Kaitangata,NZ,2021-12-01 02:33:45,-46.2817,169.8464,59.94,78,100,13.82
87,Caxito,AO,2021-12-01 02:33:45,-8.5785,13.6643,77.65,88,100,2.68
88,Coquimbo,CL,2021-12-01 02:33:16,-29.9533,-71.3436,56.93,82,0,3.44
89,Georgetown,MY,2021-12-01 02:34:46,5.4112,100.3354,83.89,82,20,5.01
90,Shubarshi,KZ,2021-12-01 02:34:46,48.5872,57.1869,40.24,73,100,22.32
91,Nome,US,2021-12-01 02:34:46,64.5011,-165.4064,-14.73,64,1,3.44
92,Rocha,UY,2021-12-01 02:34:47,-34.4833,-54.3333,61.5,85,100,6.93
93,Erdenet,MN,2021-12-01 02:34:47,49.0333,104.0833,13.96,77,18,4.54
94,Mar Del Plata,AR,2021-12-01 02:34:47,-38.0023,-57.5575,59.88,72,0,1.01
95,Anadyr,RU,2021-12-01 02:34:48,64.75,177.4833,3.7,77,75,28.99
96,Port Alfred,ZA,2021-12-01 02:34:48,-33.5906,26.891,65.43,81,99,8.5
97,Severo-Kurilsk,RU,2021-12-01 02:34:48,50.6789,156.125,35.13,98,100,16.91
98,Tasiilaq,GL,2021-12-01 02:34:49,65.6145,-37.6368,12.24,87,100,6.89
99,East London,ZA,2021-12-01 02:34:49,-33.0153,27.9116,66.0,81,99,6.87
100,Norman Wells,CA,2021-12-01 02:34:50,65.282,-126.8329,-25.56,68,75,3.44
101,Shelburne,CA,2021-12-01 02:33:37,44.0787,-80.2041,33.57,96,97,16.15
102,Chuy,UY,2021-12-01 02:34:50,-33.6971,-53.4616,63.16,89,62,9.17
103,Lompoc,US,2021-12-01 02:34:10,34.6391,-120.4579,68.52,88,1,4.61
104,Gueret,FR,2021-12-01 02:34:50,46.1667,1.8667,38.64,92,98,11.56
105,Praia,CV,2021-12-01 02:34:51,14.9215,-23.5087,72.14,68,75,16.11
106,Aripuana,BR,2021-12-01 02:34:51,-9.1667,-60.6333,73.81,96,90,0.54
107,Pilar,BR,2021-12-01 02:34:51,-9.5972,-35.9567,78.73,87,98,5.48
108,Hamilton,US,2021-12-01 02:33:11,39.1834,-84.5333,43.77,77,1,0.0
109,Batagay-Alyta,RU,2021-12-01 02:34:52,67.8006,130.4114,-27.35,100,97,1.32
110,Valparaiso,CL,2021-12-01 02:34:52,-33.0393,-71.6273,56.32,87,0,3.44
111,Olafsvik,IS,2021-12-01 02:34:53,64.8945,-23.7142,29.26,56,71,5.35
112,Surgut,RU,2021-12-01 02:33:47,61.25,73.4167,10.58,92,90,13.42
113,Krasnystaw,PL,2021-12-01 02:34:53,50.9846,23.1742,35.8,98,100,14.72
